All,Todos
"Edit Your Cart","Editar O Seu Carrinho"
"Ship Here","Entregar Aqui"
"Ship To:","Enviar Para:"
edit,editar
"Order Summary","Resumo da Encomenda"
"View and Edit Cart","Ver e editar carrinho"
"Field ","Campo "
" is required."," é obrigatório."
"Provided Zip/Postal Code seems to be invalid.","O código postal fornecido parece ser inválido."
" Example: "," Exemplo: "
"If you believe it is the right one you can ignore this notice.","Se acredita que está correto então pode ignorar este aviso."
"New Address","Nova Morada"
"Review & Payments","Revisão & Pagamentos"
"Select a new payment method","Selecione um novo método de pagamento"
"Save Address","Gravar Morada"
"Please specify a shipping method.","Por favor especifique um modo de envio."
"Checkout Options","Opções de Finalizar Compra"
"Enable Onepage Checkout","Ativar Pagamento numa única Página"
"Allow Guest Checkout","Permitir Compras por Visitantes"
"Display Billing Address On","Exibir o endereço de facturação em"
"Maximum Number of Items to Display in Order Summary","Número máximo de itens a serem exibidos no Resumo de Encomenda"
"Quote Lifetime (days)","Tempo de Vida de Orçamento (dias)"
"After Adding a Product Redirect to Shopping Cart","Depois de Adicionar um Produto, Redirecionar para o Carrinho de Compras"
"Number of Items to Display Pager","Número de itens para visualizar o Pager"
"My Cart Link","Link para O Meu Carrinho"
"Display Cart Summary","Mostrar Resumo do Carrinho"
"Shopping Cart Sidebar","Barra Lateral do Carrinho de Compras"
"Display Shopping Cart Sidebar","Mostrar Barra Lateral do Carrinho de Compras"
"Number of Items to Display Scrollbar","Número de itens para visualizar o Scrollbar"
"Maximum Number of Items to Display","Número máximo de items a mostrar"
"Payment Failed Emails","Emails de Falha de Pagamento"
"Payment Failed Email Sender","Remetente de Emails de Falha de Pagamento"
"Payment Failed Email Receiver","Destinatário de Email de Falha de Pagamento"
"Payment Failed Template","Template de Falha de Pagamento"
"Send Payment Failed Email Copy To","Enviar Cópia do Email de Falha de Pagamento Para"
"Separate by "","".","Separados por "",""."
"Send Payment Failed Email Copy Method","Método de Cópia do Email de Falha de Pagamento"
"Order Total","Total da encomenda"
"Shipping Address","Morada de Envio"
"We'll send your order confirmation here.","Enviaremos a confirmação da sua encomenda aqui."
Payment,Pagamento
"Not yet calculated","Ainda não calculado"
"We received your order!","Recebemos a sua encomenda!"
"Thank you for your purchase!","Agradecemos a sua compra!"
"Minimum order amount is %1","A quantidade mínima para encomendar é %1"
"Unable to save address. Please, check input data.","Não foi possível gravar a morada. Por favor verifique os dados que introduziu."
"Unable to save shipping information. Please, check input data.","Não foi possível gravar as informações de envio. Por favor verifique os dados que introduziu."
"Cart contains virtual product(s) only. Shipping address is not applicable.","O carrinho de compras contém apenas produtos virtuais. A morada de envio não se aplica."
"Wrong minimum amount.","Quantia mínima errada."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Imprimir recibo</a>"
"Forgot Password","Esqueci-me da Palavra-passe"
item,artigo
items,artigos
"Go to Checkout","Ir para Finalizar Compra"
"Recently added item(s)","Itens adicionados recentemente"
"View and edit cart","Ver e editar carrinho"
"No Payment Methods","Não há métodos de pagamento"
"Shipping Methods","Métodos de Envio"
"Select Method","Selecione o Modo"
"Method Title","Título do Método"
"Carrier Title","Título da Transportadora"
"Sorry, no quotes are available for this order at this time","Pedimos desculpa, mas de momento não é possível fornecer um orçamento para esta encomenda"
"Item in Cart","Item no Carrinho"
"Items in Cart","Artigos no carrinho"
"Require Customer To Be Logged In To Checkout","O cliente tem de ter sessão iniciada para efetuar o checkout"
"Maximum Display Recently Added Item(s)","Número Máximo de Itens Mostrado nos Itens Adicionados Recentemente"
of,de
"Terms and Conditions","Termos e Condições"
"Add New Condition","Adicionar Nova Condição"
"Save Condition","Gravar Condição"
"Delete Condition","Apagar Condição"
"Edit Terms and Conditions","Editar Termos e Condições"
"New Terms and Conditions","Novos Termos e Condições"
"Terms and Conditions Information","Informação dos Termos e Condições"
"Condition Name","Nome da Condição"
"Show Content as","Mostrar Conteúdo como"
Applied,Aplicada
"Checkbox Text","Texto da Caixa de Seleção"
"Content Height (css)","Altura do Conteúdo (css)"
"Content Height","Altura do Conteúdo"
Condition,Condição
Sales,Vendas
"Checkout Conditions","Condições de Finalizar Compra"
"Checkout Terms and Conditions","Termos e Condições do Checkout"
"This condition no longer exists.","Esta condição já não existe."
"You deleted the condition.","Apagou a condição."
"Something went wrong  while deleting this condition.","Algo correu mal ao remover esta condição."
"Edit Condition","Editar Condição"
"New Condition","Nova Condição"
"You saved the condition.","Gravou a condição."
"Something went wrong while saving this condition.","Algo correu mal ao gravar esta condição."
Automatically,Automaticamente
Manually,Manualmente
"Unable to save checkout agreement %1","Não foi possível gravar o acordo de checkout %1"
"Unable to remove checkout agreement %1","Não é possível remover o acordo de checkout %1"
"Checkout agreement with specified ID ""%1"" not found.","O acordo de checkout com o ID especificado ""%1"" não foi encontrado."
"Terms & Conditions","Termos e Condições"
"Enable Terms and Conditions","Ativar Termos e Condições"
"Preview mode doesn't allow submitting the order.","O modo de pré-visualização não permite submeter a encomenda."
"Preview Quote Lifetime (minutes)","Tempo de Vida da Pré-visualização do Orçamento (minutos)"
"Static Blocks","Blocos Estáticos"
"Add New Block","Adicionar Novo Bloco"
"Delete Block","Remover Bloco"
"Save Block","Gravar Bloco"
Identifier,Identificador
"Manage Pages","Gerir Páginas"
"Add New Page","Adicionar Nova Página"
"Delete Page","Remover Página"
"Save Page","Gravar Página"
Created,Criado
Modified,Modificado
"Media Storage","Armazenamento Média"
"Create Folder...","Criar Pasta..."
"Delete Folder","Remover Pasta"
"Delete File","Apagar Ficheiro"
"Insert File","Inserir Ficheiro"
"New Folder Name:","Nome da Nova Pasta:"
"Are you sure you want to delete this folder?","Tem a certeza que deseja excluír esta pasta?"
"Are you sure you want to delete this file?","Tem a certeza que deseja eliminar este ficheiro?"
"Images (%1)","Imagens (%1)"
"Storage Root","Raiz do Armazenamento"
"You deleted the block.","Removeu o bloco."
"We can't find a block to delete.","Não conseguimos encontrar um bloco para remover."
"This block no longer exists.","Este bloco já não existe."
"Edit Block","Editar Bloco"
"New Block","Novo Bloco"
Blocks,Blocos
"You saved the block.","Gravou o bloco."
"Something went wrong while saving the block.","Algo correu mal ao gravar o bloco."
"The page has been deleted.","A página foi apagada."
"We can't find a page to delete.","Não conseguimos encontrar uma página para excluir."
"This page no longer exists.","Esta página já não existe."
"Edit Page","Editar Página"
"New Page","Nova Página"
Pages,Páginas
"Something went wrong while saving the page.","Algo correu mal durante a gravação da página."
"A total of %1 record(s) have been disabled.","Um total de %1 registo(s) foram desativados."
"A total of %1 record(s) have been enabled.","Um total de %1 registo(s) foram ativados."
"Page Title","Título da Página"
"To apply changes you should fill in hidden required ""%1"" field","Para aplicar as alterações deve preencher o campo obrigatório oculto ""%1"""
"You saved the page.","Gravou a página."
"Directory %1 is not under storage root path.","A pasta %1 não está dentro do caminho raiz de armazenamento."
"The directory %1 is not writable by server.","A diretoria %1 não pode ser escrita pelo servidor."
"Make sure that static block content does not reference the block itself.","Certifique-se de que o conteúdo do bloco estático não referencia o bloco em si."
"CMS Block with id ""%1"" does not exist.","O Bloco CMS com id ""%1"" não existe."
"Enabled by Default","Ativado por Pré-definição"
"Disabled by Default","Desativado por Pré-definição"
"Disabled Completely","Desativado Completamente"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Este identificador é reservado à ""CMS No Route Page"" na configuração."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Este identificador é reservado à ""CMS Home Page"" na configuração."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Este identificador é reservado à ""CMS No Cookies Page"" na configuração."
"Could not save the page: %1","Não foi possível gravar a página: %1"
"CMS Page with id ""%1"" does not exist.","A Página CMS com id ""%1"" não existe."
"Could not delete the page: %1","Não foi possível eliminar a página: %1"
"A block identifier with the same properties already exists in the selected store.","Já existe na loja selecionada um identificador de bloco com as mesmas propriedades."
"The page URL key contains capital letters or disallowed symbols.","A chave URL da página contém letras maiúsculas ou caracteres não permitidos."
"The page URL key cannot be made of only numbers.","A chave URL da página não pode ser composta apenas por números."
"Please rename the folder using only letters, numbers, underscores and dashes.","Por favor renomeie a pasta usando apenas letras, números, underscores e hífens."
"We found a directory with the same name. Please try another folder name.","Encontrámos uma pasta com o mesmo nome. Por favor tente outro nome para a pasta."
"We cannot create a new directory.","Não é possível criar uma nova pasta."
"We cannot delete directory %1.","Não é possível apagar a pasta %1."
"We can't upload the file right now.","De momento não é possível carregar o ficheiro."
"We can't delete root directory %1 right now.","De momento não é possível apagar a pasta de raiz %1."
"Privacy and Cookie Policy","Política de Privacidade e Cookies"
"Error message","Mensagem de erro"
Exception,Exceção
"Could not create a directory.","Não foi possível criar uma pasta."
"Are you sure you want to delete a %1 record?","Tem a certeza que pretende apagar um registo $%1?"
View,Visualizar
"No files found","Nenhum ficheiro encontrado"
"Media Gallery","Galeria de Média"
"Content Management","Gestão de Conteúdo"
"CMS Home Page","Página Principal CMS"
"CMS No Route Page","Página No Route CMS"
"CMS No Cookies Page","Página No Cookies CMS"
"Show Breadcrumbs for CMS Pages","Mostrar Breadcrumbs nas Páginas CMS"
"Browser Capabilities Detection","Detecção de Recursos do Browser"
"Redirect to CMS-page if Cookies are Disabled","Redirecionar para Página CMS se as Cookies estiverem Desativadas"
"Show Notice if JavaScript is Disabled","Mostrar Aviso se o JavaScript estiver desativado"
"Show Notice if Local Storage is Disabled","Mostrar aviso se o Armazenamento Local estiver desativado"
"WYSIWYG Options","Opções WYSIWYG"
"Enable WYSIWYG Editor","Ativar Editor WYSIWYG"
"CMS Page Link","Link da Página CMS"
"Link to a CMS Page","Link para uma Página CMS"
"CMS Page","Página CMS"
"Select Page...","Selecione a Página..."
"If empty, the Page Title will be used","Se estiver vazio, será usado o Título da Página"
"CMS Page Link Block Template","Template de Bloco do Link da Página CMS"
"CMS Page Link Inline Template","Template Inline do Link da Página CMS"
"CMS Static Block","Bloco Estático CMS"
"Contents of a Static Block","Conteúdo de um Bloco Estático"
Block,Bloco
"Select Block...","Selecione o Bloco..."
"CMS Static Block Default Template","Template Pré-definido para Blocos Estáticos CMS"
"Enable Block","Ativar Bloco"
"Block Title","Título do Bloco"
"Are you sure you want to delete selected items?","Tem a certeza que deseja excluir os itens selecionados?"
"Page Information","Informações da Página"
"Enable Page","Ativar Página"
"Content Heading","Cabeçalho do Conteúdo"
"Page in Websites","Página nos Sites"
"Custom Design Update","Atualização de Design Personalizada"
"New Layout","Novo Layout"
"Custom design from","Design personalizado de"
"Custom design to","Design personalizado para"
"Custom Theme","Tema Personalizado"
"Custom Layout","Layout Personalizado"
"Edit Block '%1'","Editar Bloco '%1'"
"Edit Page '%1'","Editar Página '%1'"
"Page Layout","Layout da Página"
"Custom Design From","Design personalizado de"
"Custom Design To","Design personalizado para"
"Custom Layout Update XML","Atualização do Layout personalizado XML"
"Relative to Web Site Base URL","Relativo ao URL Base do Web Site"
"Page Status","Estado da página"
"Meta Data","Meta dados"
Keywords,Palavras-chave
"You saved this page.","Está página foi guardada."
"Could not create directory.","Não foi possível criar a pasta."
"Delete ${ $.$data.title }","Remover ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Tem a certeza que pretende apagar um registo ${ $.$data.title }?"
"Delete ""${ $.$data.title }""","Remover ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Tem a certeza que pretende apagar o registo ""${ $.$data.title }""?"
"Are you sure you wan't to delete selected items?","Tem a certeza que deseja excluir os itens selecionados?"
"Search Engine Optimisation","Otimização para Motores de Pesquisa (SEO)"
"Create Folder","Criar Pasta"
"Upload Images","Carregar Imagens"
"The block will be removed from the update and all scheduled changes will be lost.","O bloco será removido da atualização e todas as alterações programadas serão perdidas."
"Remove CMS page from Update","Remover página CMS da Atualização"
"The page will be removed from the update and all scheduled changes will be lost.","A página será removida da atualização e todas as alterações programadas serão perdidas."
"CMS Pages","Páginas CMS"
"CMS Blocks","Blocos CMS"
"Remove CMS block from Campaign","Remover o block CMS da Campanha"
"Deleting the update will remove the block from this campaign and all scheduled changes will be lost.","Ao apagar a atualização irá remover o bloco desta campanha e todas as alterações agendadas serão perdidas."
"Remove CMS page from Campaign","Remover página CMS da Campanha"
"Remove CMS Page from Campaign","Remover a página CMS da Campanha"
"Remove CMS Block from Campaign","Remover o block CMS da Campanha"
"Delete Customer","Remover cliente"
"Email Address:","Endereço de e-mail:"
"A total of %1 record(s) were deleted.","Um total de %1 registo(s) foram apagados."
"Add New Role","Adicionar Nova Função"
"Edit Role","Editar Função"
"Invalid login or password.","Nome de utilizador ou palavra-passe errados."
"This account is locked.","Esta conta está bloqueada."
"Invalid value of ""%value"" provided for the %fieldName field.","Valor inválido de ""%value"" fornecido para o campo %fieldName."
"No such entity with %fieldName = %fieldValue","Nenhum entidade com %fieldName = %fieldValue"
"Type %1 is not an instance of %2","Tipo %1 não é uma instância de %2"
"Something went wrong","Ocorreu algo de errado"
"Exception message","Mensagem da exceção"
"Localized Exception.","Exceção Localizada."
"error message","mensagem de erro"
"Role Name","Nome da Função"
"Please select a region, state or province.","Por favor selecione a região, concelho ou distrito."
"Phone Number","Número de Telefone"
"User Role","Função do Utilizador"
"You have no other address entries in your address book.","Não tem nenhuma outra morada no seu livro de endereços."
Contacts,Contactos
"Role Information","Informação da Função"
"Save Role","Gravar Função"
"Add New User","Adicionar Novo Utilizador"
"Create an Account","Criar uma Conta"
"When you sign in to your account, you will be able to:","Quando iniciar sessão, vai poder:"
"Edit User","Editar Utilizador"
Comment,Comentário
ZIP,"Cód. Postal"
Gender,Sexo
"My Orders","As minhas Encomendas"
"Create New Customer","Criar Novo Cliente"
Users,Utilizadores
"%fieldName is a required field","%fieldName é um campo obrigatório"
"Consumer is not authorized to access resource","Consumidor não está autorizado a aceder ao recurso"
"The requested Payment Method is not available.","O Método de Pagamento solicitado não está disponível."
Updated,Atualizado
Purchased,Comprado
Reverted,Revertido
"Store Credit","Crédito na Loja"
"Order # %1","Encomenda # %1"
"Purchase Order Number","Nº de Aquisição"
"Purchase Order Number: %1","Nº de Aquisição: %1"
"This is a required field.","Este é um campo obrigatório."
Date,Data
"Purchase Order","Comprar Encomenda"
"Payment Methods","Métodos de Pagamento"
"Default Config","Configuração Pré-definida"
"Save Config","Gravar Configuração"
"Use system value","Utilizar o valor de sistema"
"Use Website","Usar Site"
Add,Adicionar
"Add \Exception","Adicionar \Exceção"
"-- No Theme --","-- Nenhum Tema --"
"Class for type ""%1"" was not declared","Classe de tipo ""%1"" não foi declarada"
"%1 should implement %2","%1 deve implementar %2"
"The value you set has already been locked. To change the value, use the --%1 option.","O valor escolhido já está bloqueado. Para alterar o valor, utilize a opção --%1."
"Configuration for path: ""%1"" doesn't exist","O caminho da configuração: ""%1"" não existe"
"You saved the configuration.","Gravou a configuração."
"Something went wrong while saving this configuration:","Algo correu mal ao gravar esta configuração:"
"Please specify the admin custom URL.","Por favor especifique o URL de admin personalizado."
"Invalid %1. %2","%1 inválido. %2"
"Value must be a URL or one of placeholders: %1","O valor deve ser um URL ou um dos placeholders: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Especifique um URL ou caminho que comece com o(s) placeholder(s): %1, e acabe com ""/""."
"%1 An empty value is allowed as well.","%1 Um valor vazio também é permitido."
"Specify a fully qualified URL.","Especifique um URL totalmente qualificado."
"Selected allowed currency ""%1"" is not available in installed currencies.","A moeda permitida selecionada ""%1"" não está disponível nas moedas instaladas."
"Default display currency ""%1"" is not available in allowed currencies.","A moeda de exibição pré-definida ""%1"" não está disponível nas moedas permitidas."
"Sorry, we haven't installed the base currency you selected.","Desculpe, não foi instalada a moeda base que selecionou."
"Sorry, we haven't installed the default display currency you selected.","Desculpe, não instalámos a moeda de exibição pré-definida que selecionou."
"Sorry, the default display currency you selected is not available in allowed currencies.","Desculpe, a moeda de exibição pré-definida que selecionou não está disponível na lista de moedas permitidas."
"Please correct the email address: ""%1"".","Por favor corrija o email: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","O nome de remetente ""%1"" não é válido. Por favor use apenas caracteres visíveis e espaços."
"Maximum sender name length is 255. Please correct your settings.","O comprimento máximo do nome do remetente é de 255 caracteres. Por favor corrija este campo."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","O ficheiro que está a carregar excede o limite do servidor de %1 kilobytes."
"The base directory to upload file is not specified.","A pasta base para carregar o ficheiro não está especificada."
"The specified image adapter cannot be used because of: %1","O adaptador de imagem especificado não pode ser usado por causa de: %1"
"Default scope","Escopo pré-definido"
"Base currency","Moeda base"
"Display default currency","Mostrar moeda pré-definida"
"website(%1) scope","escopo de website(%1)"
"store(%1) scope","escopo de loja(%1)"
"Currency ""%1"" is used as %2 in %3.","A moeda ""%1"" é usada como %2 em %3."
"Please correct the timezone.","Por favor corrija o fuso horário."
"The file ""%1"" does not exist","Não existe o ficheiro ""%1"""
"The ""%1"" path does not exist","O caminho ""%1"" não existe"
"Always (during development)","Sempre (durante o desenvolvimento)"
"Only Once (version upgrade)","Apenas Uma Vez (atualização de versão)"
"Never (production)","Nunca (produção)"
"Separate Email","Email Separado"
"%1 (Default)","%1 (Pré-definido)"
title,título
Optional,Opcional
"HTTP (unsecure)","HTTP (não seguro)"
"Yes (302 Found)","Sim (302 Found)"
"Yes (301 Moved Permanently)","Sim (301 Moved Permanently)"
Specified,Especificado
"Visible section not found.","Seção visível não encontrada."
"Config form fieldset clone model required to be able to clone fields","É necessário um modelo de clone dos campos do formulário para poder clonar os campos"
"%1: Instance of %2 is expected, got %3 instead","%1: Era esperado uma instância do tipo %2, foi injetado %3"
"Invalid XML in file %1:\n%2","XML inválido no ficheiro %1:\n%2"
"'There is no defined type ' .","'Não há nenhum tipo definido ' ."
"'Object is not instance of ' .","'O objecto não é de instância tipo '."
"Filesystem is not writable.","O sistema de ficheiros não permite escrita."
"Some error","Algum erro"
"Some message","Alguma mensagem"
"You cannot run this command because the Magento application is not installed.","Não é possível executar este comando porque a aplicação Magento não está instalada."
"This command is unavailable right now.","Este comando não se encontra disponível no momento."
"The ""test/test/test"" path does not exists","O caminho ""test/test/test"" não existe"
"some prefix","um prefixo"
"element label","etiqueta do elemento"
"element hint","dica do elemento"
"element comment","comentário do elemento"
"element tooltip","dica de ferramenta do elemento"
test2,teste2
"Add after","Adicionar depois de"
"Current Configuration Scope:","Configuração de Escopo Atual:"
"Group Label","Etiqueta de Grupo"
"Some Label","Uma Etiqueta"
"Tab Label","Etiqueta do Separador"
"Field 2","Campo 2"
"Field 3","Campo 3"
"Field 3.1","Campo 3.1"
"Field 3.1.1","Campo 3.1.1"
"Field 4","Campo 4"
"Advanced Section","Secção Avançada"
"Advanced Admin Section","Secção de Administração Avançada"
"Design Section","Secção de Design"
"General Section","Secção Geral"
"System Section","Secção de Sistema"
"Currency Setup Section","Secção de Configuração de Moeda"
"Developer Section","Secção de Programador"
"Web Section","Secção Web"
"Store Email Addresses Section","Secção de Emails da Loja"
"Email to a Friend","Enviar por Email a um Amigo"
"Add configurable attributes to the current Attribute Set (""%1"")","Adicionar atributos configuráveis para o Conjunto de Atributos atual (""%1"")"
"Add configurable attributes to the new Attribute Set based on current","Adicionar atributos configuráveis ao novo Conjunto de Atributos com base no atual"
"New attribute set name","Nome do novo conjunto de atributos"
"Add configurable attributes to the existing Attribute Set","Adicionar atributos configuráveis ao Conjunto de Atributos existente"
"Choose existing Attribute Set","Escolher Conjunto de Atributos existente"
Configurations,Configurações
"Attribute Values","Valores de Atributo"
"Bulk Images &amp; Price","Imagens &amp; Preço"
"Select Attributes","Selecionar Atributos"
"Choose an Option...","Escolha uma Opção..."
"This attribute is used in configurable products.","Este atributo é usado em produtos configuráveis."
"Product has been already attached","O Produto já foi anexado"
"Parent product does not have configurable product options","Produto pai não tem opções de produto configuráveis"
"Child product does not have attribute value %1","Produto de filho não tem o atributo com o valor %1"
"Product with specified sku: %1 is not a configurable product","O produto com a referência especificada: %1 não é um produto configurável"
"Requested option doesn't exist: %1","A opção solicitada não existe: %1"
"Cannot delete variations from product: %1","Não foi possível apagar as variações do produto: %1"
"Cannot delete option with id: %1","Não é possível remover a opção com id: %1"
"Option with id ""%1"" not found","A opção com id ""%1"" não foi encontrada"
"Something went wrong while saving option.","Algo correu mal durante a gravação da opção."
"Only implemented for configurable product: %1","Apenas implementado para produtos configuráveis: %1"
"Option attribute ID is not specified.","O ID do atributo da opção não está especificado."
"Option label is not specified.","A etiqueta da opção não está especificada."
"Option values are not specified.","Os valores para a opção não estão especificados."
"Value index is not specified for an option.","O índice de valor não está especificado para uma opção."
"Product with id ""%1"" does not contain required attribute ""%2"".","O produto com o id ""%1"" não contém o atributo necessário ""%2""."
"Products ""%1"" and ""%2"" have the same set of attribute values.","Os produtos ""%1"" e %2 têm o mesmo conjunto de valores de atributo."
"You can't add the item to shopping cart.","Não pode adicionar o item ao carrinho de compras."
"Some product variations fields are not valid.","Alguns campos de variações do produto não são válidos."
"Configuration must have specified attributes","A configuração deve ter atributos especificados"
"Choose Affected Attribute Set","Escolher Conjunto de Atributos Afetado"
"Add configurable attributes to the current Attribute Set","Adicionar atributos configuráveis ao Conjunto de Atributos atual"
Confirm,Confirmar
"New Attribute Set Name","Novo nome do Conjunto de Atributos"
"Select Associated Product","Selecionar Produto Associado"
"Choose a new product to delete and replace the current product configuration.","Escolha um novo produto para excluir e substituir a configuração atual do produto."
"For better results, add attributes and attribute values to your products.","Para obter melhores resultados, adicione atributos e valores de atributo aos seus produtos."
"Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color).","Produtos configuráveis permitem que os clientes escolham opções (Ex: cor da camisa). Precisa de criar um Produto Simples para cada configuração (Ex: um produto para cada cor)."
"Configurations cannot be created for a standard product with downloadable files. To create configurations, first remove all downloadable files.","As configurações não podem ser criadas para um produto padrão com ficheiros para download. Para criar configurações, remova primeiro todos os ficheiros para download."
"Add Products Manually","Adicionar Produtos Manualmente"
"Create Configurations","Criar Configurações"
"Current Variations","Variações Atuais"
Weight,Peso
"Custom options with price type ""percent"" is not available for configurable product.","Opções personalizadas com o tipo de preço ""percentagem"" não estão disponíveis para o produto configurável."
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","Este grupo contém atributos usados em produtos configuráveis. Por favor mova estes atributos para outro grupo e tente novamente."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo é usado em produtos configuráveis. Não pode removê-lo do conjunto de atributos."
"Associated Products","Produtos Associados"
"Step 2: Attribute Values","Passo 2: Valores de Atributo"
"Sort Variations","Ordenar Variações"
Options,Opções
"Deselect All","Desmarcar tudo"
"Remove Attribute","Remover Atributo"
"Save Option","Gravar Opção"
"Remove Option","Remover Opção"
"Create New Value","Criar Novo Valor"
"Step 3: Bulk Images, Price and Quantity","Passo 3: Imagens em Massa, Preço e Quantidade"
"Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.","Com base nas suas seleções %1 novos produtos serão criados. Use esta etapa para personalizar as imagens e preço dos seus novos produtos."
"Apply single set of images to all SKUs","Aplicar um único conjunto de imagens a todas as referências SKU"
"Apply unique images by attribute to each SKU","Aplicar imagens únicas por atributo a cada referência SKU"
"Skip image uploading at this time","Saltar o passo de carregar imagens por agora"
"Remove image","Remover imagem"
"Select attribute","Selecione atributo"
Select,Selecione
"Apply single price to all SKUs","Aplicar preço único a todas as referências SKU"
"Apply unique prices by attribute to each SKU","Aplicar preços únicos por atributo a cada referência SKU"
"Skip price at this time","Saltar a definição de preço por agora"
"Apply single quantity to each SKUs","Aplicar quantidade única a cada referência SKU"
"Apply unique quantity by attribute to each SKU","Aplicar quantidade única por atributo a cada referência SKU"
"Skip quantity at this time","Saltar definição de quantidade por agora"
"Step 1: Select Attributes","Passo 1: Selecione Atributos"
"Selected Attributes:","Atributos Selecionados:"
"Step 4: Summary","Passo 4: Resumo"
"Configurable products allow customers to choose options (Ex: shirt color).
            You need to create a simple product for each configuration (Ex: a product for each color).","Os produtos configuráveis permitem aos clientes escolher opções (Ex: cor de uma T-Shirt).
            Precisa de criar um produto simples para cada configuração (Ex: um produto para cada cor)."
"Edit Configurations","Editar Configurações"
"Upload Image","Carregar Imagem"
"Upload image","Carregar imagem"
"No Image","Nenhuma Imagem"
"Choose a different Product","Escolha um Produto diferente"
"Create Product Configurations","Criar Configurações de Produto"
"New Product Review","Nova Review do Produto"
"Here are the products you're about to create.","Aqui estão os produtos que está prestes a criar."
"You created these products for this configuration.","Criou estes produtos para esta configuração."
"Disassociated Products","Produtos Desassociados"
"These products are not associated.","Estes produtos não estão associados."
"Disable Product","Desativar Produto"
"Enable Product","Ativar Produto"
"An attribute has been removed. This attribute will no longer appear in your configurations.","Foi removido um atributo. Este atributo já não irá aparecer nas suas configurações."
"Select options for all attributes or remove unused attributes.","Selecione opções para todos os atributos ou remova atributos não usados."
"Please select attribute for {section} section.","Por favor selecione o atributo para a secção de {section}."
"Please fill in the values for {section} section.","Por favor preencha os valores para a secção de {section}."
"Please fill-in correct values.","Por favor preencha valores corretos."
"Please select image(s) for your attribute.","Por favor selecione a(s) imagem(s) para seu atributo."
"Please choose image(s).","Por favor, escolha imagem(s)."
"Please select attribute(s).","Por favor selecione atributo(s)."
"Generate Products","Gerar Produtos"
"Configurable Product Image","Imagem de Produto Configurável"
"As low as: ","Tão baixo quanto: "
"Could not update option with id ""%1""","Não foi possível atualizar a opção com id ""%1"""
"Product already has this option","O Produto já tem essa opção"
"The configurable product does not have any variation attribute.","O produto configurável não tem nenhum atributo de variação."
"Product with id ""%1"" does not exist.","O produto com o id ""%1"" não existe."
"Products ""%1"" and %2 have the same set of attribute values.","Os produtos ""%1"" e %2 têm o mesmo conjunto de valores de atributo."
"Configurable product ""%1"" do not have sub-products","O produto configurável ""%1"" não tem sub-produtos"
"Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.","Selecione valores de cada atributo para incluir neste produto. Cada combinação única de valores cria uma referência de produto SKU única."
"Step 3: Bulk Images, Price, and Quantity","Passo 3: Imagens em Massa, Preço e Quantidade"
"Based on your selections <span class=""new-products-count"" data-bind=""text:countVariations""></span>
        new products will be created. Use this step to customize images and price for your new products.","Com base nas suas seleções <span class=""new-products-count"" data-bind=""text:countVariations""></span>        novos produtos serão criados. Use este passo para personalizar as imagens e o preço para os seus novos produtos."
"Edit role","Editar função"
"Please, select attribute for the section ","Por favor, selecione o atributo para a secção "
"Please fill in the values for the section ","Por favor, preencha os valores para a secção "
"Please, fill correct values","Por favor, preencha os valores corretos"
"Please, select image(s) for your attribute","Por favor selecione a(s) imagem(s) para seu atributo"
"Please choose image(s)","Por favor, escolha a(s) imagem(s)"
"Please, select attribute(s)","Por favor selecione o(s) atributo(s)"
"Configurable product ""%1"" does not have sub-products","O produto configurável ""%1"" não tem sub-produtos"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Obrigado por nos contactar com os seus comentários e perguntas. Iremos responder-lhe muito em breve."
"An error occurred while processing your form. Please try again later.","Ocorreu um erro ao processar o seu formulário. Por favor, tente novamente mais tarde."
"Name is missing","Nome em falta"
"Comment is missing","Comentário em falta"
"Invalid email address","Endereço de e-mail inválido"
"Write Us",Escreva-nos
"Jot us a note and we’ll get back to you as quickly as possible.","Escreva-nos um comentário e responderemos o assim que possível."
"What’s on your mind?","Em que está a pensar?"
"Contact Form","Formulário de Contacto"
"Contacts Section","Secção de Contactos"
"Contact Us",Contacte-nos
"Enable Contact Us","Ativar a opção Contacte-nos"
"Email Options","Opções de E-mail"
"Send Emails To","Enviar E-mails Para"
"Email Sender","Remetente de E-mail"
"Email Template","Template de Email"
